student_id,gender,study_time_hours,attendance_percent,sleep_hours,parental_education,internet_access,extracurricular_activities,part_time_job,previous_grade,final_exam_score,final_grade,study_category,final_grade_num
274,Female,3.3,96.4,7.5,High School,Yes,No,No,90.1,97.8,A,Average (3-6 H),4
275,Male,2.6,98.2,5.4,High School,No,Yes,No,59.6,74.4,C,Low (0-3 H),2
276,Female,2.7,83.8,5.7,PhD,Yes,Yes,No,68.5,76.4,C,Low (0-3 H),2
277,Male,3.5,63.8,7.5,High School,Yes,No,No,59.1,76.3,C,Average (3-6 H),2
278,Female,2.7,78.9,5.7,High School,Yes,No,Yes,78.3,88.3,B,Low (0-3 H),3
279,Male,2.4,98,7.4,High School,Yes,Yes,No,65.5,94,A,Low (0-3 H),4
280,Female,3.7,84.8,5.2,PhD,No,Yes,Yes,54.3,58.8,F,Average (3-6 H),0
281,Female,3.1,75,7.8,Bachelors,No,No,No,75.3,81.1,B,Average (3-6 H),3
282,Female,5.8,80,5.3,Masters,Yes,Yes,No,52.8,84.5,B,Average (3-6 H),3
283,Female,0.5,93.4,7.5,High School,Yes,Yes,Yes,60,69.9,D,Low (0-3 H),1
284,Male,5.1,90.5,7.6,Masters,Yes,No,No,44.7,82.2,B,Average (3-6 H),3
285,Female,5.4,82.6,6,Masters,Yes,Yes,Yes,52.9,83.3,B,Average (3-6 H),3
286,Male,0.5,81.3,7.5,High School,Yes,No,Yes,72.1,69.5,D,Low (0-3 H),1
287,Male,3,81.1,7.1,Bachelors,Yes,No,No,46.4,68.5,D,Low (0-3 H),1
288,Male,2.9,75.8,6.2,High School,No,Yes,No,52.2,61.5,D,Low (0-3 H),1
289,Male,1.4,100,5.6,unknown,No,Yes,No,70,72.3,C,Low (0-3 H),2
290,Female,2.3,81.8,4.4,Bachelors,Yes,No,No,63.5,74.1,C,Low (0-3 H),2
291,Male,1.8,97.2,7.2,unknown,Yes,No,No,93.9,94.9,A,Low (0-3 H),4
292,Male,6.1,100,4.9,High School,Yes,No,No,92,100,A,Good (6-9 H),4
293,Male,4.9,95,6.9,Masters,Yes,No,Yes,59.6,84.5,B,Average (3-6 H),3
294,Female,5.4,80.7,6.5,Masters,Yes,Yes,Yes,76.7,93.7,A,Average (3-6 H),4
295,Female,4.6,89,7.6,Masters,Yes,No,No,79,100,A,Average (3-6 H),4
296,Female,1.8,84.8,6.4,unknown,Yes,Yes,No,62.8,81.6,B,Low (0-3 H),3
297,Female,2.7,76,6.4,Bachelors,Yes,Yes,No,52.1,70.9,C,Low (0-3 H),2
298,Male,4.2,88.2,7.7,High School,Yes,Yes,No,69.9,89.6,B,Average (3-6 H),3
299,Male,1.7,73.2,7.2,Masters,No,Yes,No,67.9,69.2,D,Low (0-3 H),1
300,Female,4.6,96.9,7.2,Masters,Yes,No,Yes,64.8,82.3,B,Average (3-6 H),3
301,Male,3.1,80.4,7.4,Bachelors,Yes,Yes,Yes,75.3,80.9,B,Average (3-6 H),3
302,Male,2.9,87,5,High School,Yes,Yes,No,61,82.4,B,Low (0-3 H),3
303,Male,4.6,87.8,7.7,Bachelors,Yes,Yes,No,56.2,91,A,Average (3-6 H),4
304,Female,4.2,82.4,7.5,High School,No,No,No,71.3,81.6,B,Average (3-6 H),3
305,Female,3,90.9,5.6,Bachelors,Yes,No,Yes,74.6,83.2,B,Low (0-3 H),3
306,Male,5.2,80.3,6.5,Bachelors,Yes,Yes,No,55.9,80.7,B,Average (3-6 H),3
307,Female,1.9,93.7,6.8,Masters,Yes,Yes,Yes,81.1,87.2,B,Low (0-3 H),3
308,Female,4.4,71.5,6.6,High School,Yes,Yes,Yes,48.8,72.8,C,Average (3-6 H),2
309,Female,4.4,86.3,7.2,Bachelors,Yes,No,No,63.1,85.2,B,Average (3-6 H),3
310,Female,3,100,8.5,High School,Yes,No,Yes,66.9,83.3,B,Low (0-3 H),3
311,Female,4,75,8.1,High School,Yes,Yes,No,62.4,82.6,B,Average (3-6 H),3
312,Male,1.6,78.2,5.2,Masters,Yes,No,Yes,63.2,63.4,D,Low (0-3 H),1
313,Female,4.9,90.1,7.5,unknown,Yes,Yes,No,92.5,100,A,Average (3-6 H),4
314,Male,3.2,86.8,8.4,Bachelors,Yes,No,No,59.8,79.4,C,Average (3-6 H),2
315,Male,2.7,88.5,7.3,Masters,Yes,Yes,No,99.3,100,A,Low (0-3 H),4
316,Female,5.1,89.9,8.1,PhD,Yes,Yes,No,75.2,100,A,Average (3-6 H),4
317,Male,2.4,91.3,9.2,Masters,No,Yes,Yes,71.1,72.9,C,Low (0-3 H),2
318,Male,1.4,96.1,8,High School,No,Yes,No,75.7,79.2,C,Low (0-3 H),2
319,Male,1.2,89.1,7.1,unknown,Yes,No,No,100,84.2,B,Low (0-3 H),3
320,Female,4.4,82.6,8.1,Bachelors,Yes,Yes,Yes,58.1,80.7,B,Average (3-6 H),3
321,Female,1.6,91.7,7,High School,Yes,No,No,56.6,85.3,B,Low (0-3 H),3
322,Male,6.1,100,6.8,High School,Yes,No,Yes,60.9,93.1,A,Good (6-9 H),4
323,Female,0.5,83.7,6.4,Bachelors,Yes,Yes,No,70.4,73.5,C,Low (0-3 H),2
324,Female,6,75.3,8.7,High School,Yes,Yes,No,49.3,90.8,A,Average (3-6 H),4
325,Female,3.8,96.1,5.8,High School,Yes,Yes,Yes,70.3,80.8,B,Average (3-6 H),3
326,Female,3.4,83.8,8.6,High School,Yes,No,No,90.3,88.9,B,Average (3-6 H),3
327,Male,2.7,63.3,7.4,Masters,No,Yes,No,71.8,63.7,D,Low (0-3 H),1
328,Male,4.1,93.5,5.1,PhD,Yes,Yes,No,66.5,82.6,B,Average (3-6 H),3
329,Female,3.4,79.6,7.2,High School,Yes,Yes,No,62.6,63.7,D,Average (3-6 H),1
330,Female,5.2,84.1,4.3,PhD,Yes,No,No,80.8,96.6,A,Average (3-6 H),4
331,Male,3.7,88.3,7.6,PhD,Yes,Yes,No,60.1,97,A,Average (3-6 H),4
332,Male,3.7,86.9,7.9,Masters,No,Yes,No,92.2,93.3,A,Average (3-6 H),4
333,Female,3,92.1,6.1,High School,Yes,Yes,Yes,93.2,82.8,B,Low (0-3 H),3
334,Male,3.4,80.6,6.9,Masters,Yes,Yes,No,73.1,81.2,B,Average (3-6 H),3
335,Female,4,90.1,9.1,unknown,Yes,No,No,69.9,88.7,B,Average (3-6 H),3
336,Female,0.9,82.4,6.2,Masters,Yes,Yes,No,82.4,71.2,C,Low (0-3 H),2
337,Male,1.5,92.4,5.5,High School,Yes,No,No,83.1,87.1,B,Low (0-3 H),3
338,Male,4.6,91.2,8.6,Bachelors,Yes,No,No,60.3,94.9,A,Average (3-6 H),4
339,Female,3.8,75.6,9.2,Bachelors,Yes,No,No,63.7,76.1,C,Average (3-6 H),2
340,Female,3.2,95.9,6.8,Bachelors,Yes,No,No,54.1,85.1,B,Average (3-6 H),3
341,Male,3.5,79.6,8,High School,Yes,Yes,No,74.9,96.3,A,Average (3-6 H),4
342,Female,4,93.1,8.4,High School,Yes,Yes,No,78,100,A,Average (3-6 H),4
343,Male,2.7,88.7,5.9,Masters,Yes,No,No,53.8,92,A,Low (0-3 H),4
344,Female,2.3,100,6.2,PhD,Yes,Yes,No,64.5,77.2,C,Low (0-3 H),2
345,Male,3.8,82.8,8.3,High School,Yes,No,No,53.8,97.5,A,Average (3-6 H),4
346,Male,2,81.5,8.8,unknown,Yes,Yes,Yes,59.2,70.6,C,Low (0-3 H),2
347,Male,4.1,84.8,7.5,High School,Yes,No,No,76.6,87.2,B,Average (3-6 H),3
348,Female,0.9,82,5.7,Masters,Yes,No,No,61.2,69,D,Low (0-3 H),1
349,Female,5,93,9.2,Masters,Yes,Yes,Yes,66.4,90.2,A,Average (3-6 H),4
350,Male,4.2,68.8,6.2,Masters,Yes,Yes,Yes,50.5,74,C,Average (3-6 H),2
351,Female,3.9,74.5,6.4,unknown,Yes,No,No,72.2,75.3,C,Average (3-6 H),2
352,Male,5,74.3,7.2,High School,Yes,No,No,69.5,86.5,B,Average (3-6 H),3
353,Male,6,94.5,8.7,PhD,Yes,Yes,No,61.3,100,A,Average (3-6 H),4
354,Female,5,100,7.8,High School,Yes,No,Yes,67.7,93.6,A,Average (3-6 H),4
355,Female,0.7,84,7.3,Masters,Yes,Yes,Yes,72.2,72,C,Low (0-3 H),2
356,Male,1.6,83.3,7.4,Masters,Yes,Yes,No,60.2,76.2,C,Low (0-3 H),2
357,Female,2.6,85.7,6.9,Masters,Yes,No,No,52.3,80.9,B,Low (0-3 H),3
358,Female,3.5,96.6,7.5,High School,Yes,No,Yes,91.7,85.3,B,Average (3-6 H),3
359,Male,4.3,75.7,3.8,PhD,Yes,No,No,62.4,81.9,B,Average (3-6 H),3
360,Male,2.4,87.4,6.4,High School,Yes,No,No,68.8,78,C,Low (0-3 H),2
361,Female,3.8,94.8,7.1,High School,Yes,Yes,Yes,82.1,93.6,A,Average (3-6 H),4
362,Male,2.4,90,5.4,Masters,Yes,No,Yes,100,95.1,A,Low (0-3 H),4
363,Male,2.6,86.9,7.3,Bachelors,Yes,Yes,Yes,55.1,66.7,D,Low (0-3 H),1
364,Female,1.4,95,6.6,Masters,Yes,Yes,No,75.4,75.6,C,Low (0-3 H),2
365,Male,2.1,58,8.9,Bachelors,Yes,Yes,No,61.5,57.4,F,Low (0-3 H),0
366,Male,1.5,91.8,8.7,High School,Yes,Yes,No,63.5,75.4,C,Low (0-3 H),2
367,Female,2,78.5,6.2,Masters,Yes,Yes,No,61.4,80.5,B,Low (0-3 H),3
368,Female,5.1,66.7,6.6,Bachelors,No,Yes,No,56.5,75.1,C,Average (3-6 H),2
369,Male,2.1,90.1,6.7,High School,No,Yes,No,69.5,67.8,D,Low (0-3 H),1
370,Male,7.4,98.7,6.3,Masters,Yes,Yes,No,52.3,97.4,A,Good (6-9 H),4
371,Female,4.2,83.6,7,Bachelors,Yes,No,Yes,81.4,80.2,B,Average (3-6 H),3
372,Female,3.8,94.5,5.9,Bachelors,Yes,Yes,No,70.7,82.8,B,Average (3-6 H),3
373,Female,2.2,100,5.4,Bachelors,Yes,Yes,No,75.1,87.8,B,Low (0-3 H),3
374,Female,4.6,98.1,7.5,Masters,Yes,No,No,64.4,85.8,B,Average (3-6 H),3
375,Male,2.6,100,7.6,Masters,Yes,No,No,65.6,91.7,A,Low (0-3 H),4
376,Female,3.7,92.4,5.8,Masters,Yes,No,Yes,73.5,84.9,B,Average (3-6 H),3
377,Female,7.3,85.8,7.9,High School,Yes,Yes,No,56,99.3,A,Good (6-9 H),4
378,Male,3.4,69,6,Masters,Yes,No,No,65.7,74.3,C,Average (3-6 H),2
379,Female,5.2,82.5,7.1,Masters,Yes,Yes,No,59.7,93.3,A,Average (3-6 H),4
380,Male,2.4,76.6,7.8,Masters,Yes,Yes,No,59.3,79.4,C,Low (0-3 H),2
381,Female,3.4,100,6.8,Bachelors,No,Yes,No,44.7,77.4,C,Average (3-6 H),2
382,Female,6.2,83.2,7.3,PhD,Yes,No,No,86.1,100,A,Good (6-9 H),4
383,Female,2.6,86.2,6.2,Masters,Yes,Yes,No,61.8,76.8,C,Low (0-3 H),2
384,Male,6.2,90.5,6.6,High School,Yes,Yes,No,84,100,A,Good (6-9 H),4
385,Male,4.6,85.4,6.6,Bachelors,No,Yes,No,82.8,88.6,B,Average (3-6 H),3
386,Female,2.7,100,5.9,PhD,Yes,No,No,54.6,79.1,C,Low (0-3 H),2
387,Male,4.4,78.8,6.6,High School,Yes,No,No,56.9,79.4,C,Average (3-6 H),2
388,Male,5,86.9,4.9,unknown,Yes,Yes,No,100,100,A,Average (3-6 H),4
389,Male,4.4,77.6,6.2,Masters,Yes,No,Yes,91,86.7,B,Average (3-6 H),3
390,Male,1.1,71.8,6.5,Bachelors,Yes,Yes,Yes,69.6,69.5,D,Low (0-3 H),1
391,Male,2.4,78.9,6.5,High School,Yes,No,No,73.1,86.3,B,Low (0-3 H),3
392,Male,3.1,84.6,6.5,High School,Yes,Yes,No,62.4,87.3,B,Average (3-6 H),3
393,Female,3.4,80.7,6.7,unknown,No,No,No,75.2,72.1,C,Average (3-6 H),2
394,Female,4.4,78.1,7.4,High School,Yes,Yes,No,61.4,92.3,A,Average (3-6 H),4
395,Male,3.8,70.9,7.8,Masters,Yes,No,Yes,45.6,67.6,D,Average (3-6 H),1
396,Female,1.5,84.2,6,Bachelors,Yes,Yes,No,54.1,72.7,C,Low (0-3 H),2
397,Female,4.1,70,5.4,High School,Yes,Yes,No,70.3,76.1,C,Average (3-6 H),2
398,Female,4.4,92.6,5.5,High School,No,Yes,No,56.4,81.2,B,Average (3-6 H),3
399,Female,4.3,85.8,6.2,Bachelors,Yes,Yes,No,69.2,90.4,A,Average (3-6 H),4
400,Male,5.1,70.4,6.4,unknown,Yes,Yes,No,57.1,73.2,C,Average (3-6 H),2
401,Female,4.8,81.9,5.9,Bachelors,Yes,No,Yes,60.6,85.2,B,Average (3-6 H),3
402,Female,4.2,77.5,5.2,Bachelors,Yes,Yes,No,80.2,96.4,A,Average (3-6 H),4
403,Male,3.4,88.2,6.3,High School,Yes,No,Yes,73,81.9,B,Average (3-6 H),3
404,Male,1,98.4,7,Bachelors,Yes,No,No,69.9,86.5,B,Low (0-3 H),3
405,Female,4.1,66.2,7.5,Bachelors,Yes,No,No,80.5,84.7,B,Average (3-6 H),3
406,Female,3.8,86.2,6.1,PhD,Yes,No,No,75.8,93,A,Average (3-6 H),4
407,Female,3.9,83.4,6.3,Bachelors,Yes,No,No,87.4,78.9,C,Average (3-6 H),2
408,Female,1.6,91.7,5.7,Bachelors,Yes,Yes,No,64.5,90.4,A,Low (0-3 H),4
409,Female,1.9,87.1,6.8,High School,No,No,No,64.8,80.1,B,Low (0-3 H),3
410,Female,5.1,77.5,5.8,unknown,Yes,Yes,Yes,54.4,78.1,C,Average (3-6 H),2
411,Male,3.4,81.8,7.5,High School,Yes,No,No,64.9,70.1,C,Average (3-6 H),2
412,Female,4.5,77,4.7,High School,Yes,No,No,81.6,90.2,A,Average (3-6 H),4
413,Female,3.5,95.8,6.4,Masters,Yes,Yes,No,85.6,86.5,B,Average (3-6 H),3
414,Male,3.5,85.2,7.2,Bachelors,Yes,Yes,No,81.5,93.5,A,Average (3-6 H),4
415,Male,4.9,100,7,Bachelors,No,Yes,Yes,48.5,83.3,B,Average (3-6 H),3
416,Male,2.7,84.4,10,Bachelors,Yes,No,Yes,83,81.2,B,Low (0-3 H),3
417,Male,3.6,77.9,7.2,Masters,No,No,No,47.9,76,C,Average (3-6 H),2
418,Female,2.8,69.9,5.6,High School,Yes,Yes,No,80.8,84.9,B,Low (0-3 H),3
419,Female,2.8,67,6.7,Masters,Yes,No,No,65.6,79.2,C,Low (0-3 H),2
420,Female,3,69.2,4.7,Bachelors,No,No,No,78.4,72.8,C,Low (0-3 H),2
421,Female,3.8,87.7,6.7,Bachelors,Yes,Yes,Yes,54,69.9,D,Average (3-6 H),1
422,Female,2.8,90.1,5.8,Bachelors,No,Yes,No,84.1,89.6,B,Low (0-3 H),3
423,Female,5.4,69.2,7.9,High School,Yes,No,Yes,52.4,77.3,C,Average (3-6 H),2
424,Male,2.2,94,6.1,Masters,No,No,No,62,64.6,D,Low (0-3 H),1
425,Female,3.2,80.2,6.7,Bachelors,Yes,No,Yes,58,81.8,B,Average (3-6 H),3
426,Male,2.8,86.5,6,High School,Yes,Yes,No,48.9,86.2,B,Low (0-3 H),3
427,Male,5.7,100,8.9,Bachelors,Yes,Yes,Yes,71.1,100,A,Average (3-6 H),4
428,Female,3.8,94,6.4,unknown,Yes,Yes,No,91.7,100,A,Average (3-6 H),4
429,Male,5,82.3,9,Bachelors,Yes,Yes,No,100,100,A,Average (3-6 H),4
430,Female,1.3,76.1,7.8,unknown,Yes,Yes,No,71.2,72,C,Low (0-3 H),2
431,Male,3.9,63.5,7.4,High School,Yes,No,No,83.4,81.2,B,Average (3-6 H),3
432,Female,4.8,77.8,7.2,High School,Yes,Yes,No,72.8,100,A,Average (3-6 H),4
433,Male,3.6,82.9,7.3,High School,Yes,No,Yes,76,79.7,C,Average (3-6 H),2
434,Female,5.1,75.1,4.5,Bachelors,Yes,Yes,No,65.9,89.4,B,Average (3-6 H),3
435,Female,2.7,83.7,6.5,High School,Yes,No,No,72.3,77.8,C,Low (0-3 H),2
436,Female,5.6,85.8,7.8,High School,Yes,Yes,Yes,76.4,93.4,A,Average (3-6 H),4
437,Female,6.9,82.8,6.7,unknown,Yes,Yes,Yes,63.1,100,A,Good (6-9 H),4
438,Female,3,78.5,5.1,Masters,Yes,Yes,No,69.1,76.5,C,Low (0-3 H),2
439,Male,2.8,86.7,6.7,Masters,Yes,No,No,69.3,79.3,C,Low (0-3 H),2
440,Male,5.7,89.4,8.8,High School,No,No,No,79.9,100,A,Average (3-6 H),4
441,Male,5.9,74.1,8.3,High School,Yes,Yes,No,57.2,98.9,A,Average (3-6 H),4
442,Female,2.7,99.1,6.7,High School,Yes,Yes,Yes,69.4,87.5,B,Low (0-3 H),3
443,Male,2.9,84,7.9,Masters,Yes,No,Yes,92.9,85.2,B,Low (0-3 H),3
444,Female,3.1,85.2,6.4,unknown,Yes,Yes,No,84,86,B,Average (3-6 H),3
445,Female,1.5,92.1,4.8,Bachelors,Yes,Yes,Yes,86.2,80.7,B,Low (0-3 H),3
446,Male,2.1,87.3,5.7,High School,Yes,No,No,70.3,79.9,C,Low (0-3 H),2
447,Male,2,94.5,8.7,Bachelors,Yes,No,No,73.9,79.1,C,Low (0-3 H),2
448,Female,2.3,87.9,6.5,High School,Yes,Yes,Yes,82,87.1,B,Low (0-3 H),3
449,Male,3.4,78.9,6.5,Bachelors,Yes,Yes,No,88.7,90.7,A,Average (3-6 H),4
450,Female,3.9,88.6,6.4,Bachelors,Yes,No,Yes,46.6,64.6,D,Average (3-6 H),1
451,Female,5.8,73.6,9.1,Masters,No,Yes,No,54.2,77.9,C,Average (3-6 H),2
452,Female,2,86.1,8.8,High School,Yes,Yes,Yes,85.7,82,B,Low (0-3 H),3
453,Female,5,84.7,9.5,High School,Yes,No,No,66.7,92.8,A,Average (3-6 H),4
454,Female,3.2,82.9,6.6,unknown,No,No,No,61.9,85.4,B,Average (3-6 H),3
455,Male,3.4,83.7,7.2,High School,Yes,Yes,No,55,80.7,B,Average (3-6 H),3
456,Male,4.5,66.2,5,High School,Yes,No,No,63.3,72.7,C,Average (3-6 H),2
457,Female,1.8,79.5,8.6,High School,Yes,No,Yes,53.2,68.8,D,Low (0-3 H),1
458,Female,4.1,85.9,5.4,High School,No,Yes,No,95.1,89.9,B,Average (3-6 H),3
459,Male,3.7,86.6,7.1,Bachelors,No,No,No,69.7,83.3,B,Average (3-6 H),3
460,Male,4.2,74.7,5.5,Masters,Yes,Yes,No,69.3,86.8,B,Average (3-6 H),3
461,Female,3.9,97.7,6.1,High School,Yes,Yes,Yes,77.1,98.2,A,Average (3-6 H),4
462,Male,7.2,76.3,5.8,Bachelors,Yes,No,No,81.5,100,A,Good (6-9 H),4
463,Female,2.5,94.7,6.1,Masters,Yes,Yes,Yes,81.4,95.1,A,Low (0-3 H),4
464,Male,2.7,89.3,6.2,Bachelors,Yes,Yes,No,82.9,93.5,A,Low (0-3 H),4
465,Female,2.6,78.5,6.1,PhD,No,Yes,Yes,62.4,63.2,D,Low (0-3 H),1
466,Male,2.7,100,7.8,PhD,Yes,Yes,No,66.4,100,A,Low (0-3 H),4
467,Female,2.5,73.1,5.5,High School,Yes,No,Yes,79.2,77.1,C,Low (0-3 H),2
468,Male,5.3,94.2,7.1,Masters,Yes,No,No,63.7,88.8,B,Average (3-6 H),3
469,Male,5.6,95,8.3,Bachelors,Yes,No,No,69.9,100,A,Average (3-6 H),4
470,Female,2.6,78.3,6.2,unknown,Yes,Yes,Yes,74.8,89.9,B,Low (0-3 H),3
471,Male,2.3,98.9,5.9,Bachelors,Yes,Yes,No,79.4,87.6,B,Low (0-3 H),3
472,Female,4.2,82.5,6.5,unknown,No,Yes,Yes,48.7,68,D,Average (3-6 H),1
473,Male,2.7,87.9,8.2,Masters,No,Yes,No,78.6,82.2,B,Low (0-3 H),3
474,Female,4.4,87.6,7,High School,Yes,Yes,No,67.2,94,A,Average (3-6 H),4
475,Male,3.8,83.7,6.2,Bachelors,No,No,No,78.5,90.9,A,Average (3-6 H),4
476,Female,1.2,93.1,7.4,unknown,Yes,No,No,79.3,85,B,Low (0-3 H),3
477,Male,5.8,92.9,5.5,PhD,Yes,No,Yes,89.3,100,A,Average (3-6 H),4
478,Female,6.2,67.5,7.6,High School,Yes,Yes,No,86.2,100,A,Good (6-9 H),4
479,Male,2.6,98,7.3,Masters,Yes,No,Yes,86.2,87.4,B,Low (0-3 H),3
480,Female,2.9,68.4,6.4,High School,No,Yes,No,87.3,84.8,B,Low (0-3 H),3
481,Female,3.9,95.3,5.8,High School,Yes,Yes,No,73.5,89.5,B,Average (3-6 H),3
482,Female,4,96.3,5.7,Bachelors,Yes,No,No,70.4,92.3,A,Average (3-6 H),4
483,Male,4.5,74.1,7.4,High School,Yes,No,Yes,80.5,86.6,B,Average (3-6 H),3
484,Female,6.5,80.9,8.3,Masters,Yes,Yes,No,78.8,100,A,Good (6-9 H),4
485,Male,3.2,73.9,6,High School,Yes,Yes,No,66.3,75.7,C,Average (3-6 H),2
486,Female,2.3,82.9,7.4,Masters,Yes,Yes,Yes,74.9,87.3,B,Low (0-3 H),3
487,Male,1.4,81.9,4.3,High School,Yes,No,No,69.6,66.6,D,Low (0-3 H),1
488,Female,2.4,92.8,6.1,High School,Yes,Yes,No,59.8,74.1,C,Low (0-3 H),2
489,Male,3.5,98.1,6.8,High School,Yes,No,No,85.5,100,A,Average (3-6 H),4
490,Male,6.2,99,5.7,High School,Yes,Yes,No,70.7,100,A,Good (6-9 H),4
491,Female,2.7,79.4,5.7,High School,Yes,Yes,No,94.6,74.3,C,Low (0-3 H),2
492,Male,3.8,82.9,6,High School,Yes,Yes,Yes,50.5,71.1,C,Average (3-6 H),2
493,Male,3.5,68.2,7.2,Bachelors,Yes,Yes,No,63.3,66.7,D,Average (3-6 H),1
494,Female,5.3,76.9,6.6,High School,Yes,Yes,Yes,70.4,82.1,B,Average (3-6 H),3
495,Male,7.3,94.6,4.1,Bachelors,Yes,No,No,83.6,88.5,B,Good (6-9 H),3
496,Male,2.7,100,4.3,Bachelors,No,No,No,74.8,79.4,C,Low (0-3 H),2
497,Male,2.8,72.7,6.1,PhD,Yes,No,No,73.7,71,C,Low (0-3 H),2
498,Female,5.1,79.1,7.3,unknown,Yes,No,No,56.5,85.4,B,Average (3-6 H),3
499,Male,4.5,84.7,3.5,Bachelors,No,No,Yes,56.1,61.8,D,Average (3-6 H),1
500,Female,6.3,87.8,6.2,High School,Yes,No,No,73.9,99.6,A,Good (6-9 H),4
501,Male,4.4,76.9,6.2,High School,Yes,No,No,53.6,76.1,C,Average (3-6 H),2
502,Male,3,89.2,8.5,unknown,Yes,Yes,Yes,63.6,90.4,A,Low (0-3 H),4
503,Male,4.4,80.3,6.3,High School,No,Yes,No,76,93.3,A,Average (3-6 H),4
504,Female,5.2,84.9,7.3,High School,No,Yes,No,58.2,88.9,B,Average (3-6 H),3
505,Male,4.7,90.5,7,High School,Yes,Yes,No,89.3,99,A,Average (3-6 H),4
506,Male,4.3,85.1,4.2,High School,Yes,Yes,Yes,84.7,100,A,Average (3-6 H),4
507,Female,5.1,80.6,7.7,High School,Yes,No,No,51.1,74.5,C,Average (3-6 H),2
508,Male,5.3,83.9,7.1,Masters,No,Yes,Yes,58.8,72.8,C,Average (3-6 H),2
509,Female,5.6,84.1,7.4,High School,No,Yes,Yes,42.6,76.1,C,Average (3-6 H),2
510,Female,4.5,81.3,10,Bachelors,Yes,Yes,Yes,60.6,99.5,A,Average (3-6 H),4
511,Male,3.2,82.4,4.3,High School,Yes,Yes,Yes,79.2,79.9,C,Average (3-6 H),2
512,Female,3.7,100,8.9,High School,Yes,Yes,Yes,65,88.2,B,Average (3-6 H),3
513,Male,5.3,90.6,6.5,unknown,Yes,Yes,No,75.5,88.9,B,Average (3-6 H),3
514,Female,2.3,82,7.1,High School,Yes,Yes,No,51.7,77.9,C,Low (0-3 H),2
515,Female,4.1,92,6.7,Masters,Yes,Yes,Yes,79.6,97.2,A,Average (3-6 H),4
516,Male,2.9,81.7,6.3,Bachelors,Yes,No,Yes,63.3,79.3,C,Low (0-3 H),2
517,Female,3.5,96.7,6.1,High School,Yes,No,No,70.1,84.2,B,Average (3-6 H),3
518,Female,5.4,88.7,7.2,unknown,No,Yes,No,68.9,86.3,B,Average (3-6 H),3
519,Female,3.8,83.9,5,High School,Yes,Yes,Yes,54.7,67.6,D,Average (3-6 H),1
520,Female,3.6,89.5,7.7,PhD,Yes,Yes,Yes,56.2,80.7,B,Average (3-6 H),3
521,Female,1.5,69.3,6.3,High School,Yes,No,Yes,81.6,64.7,D,Low (0-3 H),1
522,Male,4.6,73.7,5.4,PhD,No,Yes,Yes,74.8,71.8,C,Average (3-6 H),2
523,Female,4.5,73.1,6.3,High School,Yes,Yes,Yes,82.6,84.9,B,Average (3-6 H),3
524,Male,6.7,86.4,8.3,Bachelors,Yes,No,No,73.9,100,A,Good (6-9 H),4
525,Female,3,100,6.2,Masters,Yes,Yes,Yes,71.7,82.4,B,Low (0-3 H),3
526,Male,3.8,100,7.2,unknown,Yes,Yes,No,49.3,87.3,B,Average (3-6 H),3
527,Male,3.9,91.4,5.9,unknown,Yes,Yes,Yes,66.8,84.8,B,Average (3-6 H),3
528,Female,5.9,90,7.7,Masters,Yes,No,No,69.7,96.4,A,Average (3-6 H),4
529,Female,3.4,67,7.6,PhD,No,No,No,93.4,84.3,B,Average (3-6 H),3
530,Female,3.9,79.6,9,High School,Yes,No,No,78.2,84.5,B,Average (3-6 H),3
531,Male,4.4,77.1,6.6,High School,Yes,Yes,No,88.4,94.7,A,Average (3-6 H),4
532,Female,3.8,78.8,7.6,High School,Yes,Yes,No,77.2,89.6,B,Average (3-6 H),3
533,Male,2.8,83.3,6.9,Bachelors,Yes,No,No,61.5,68.6,D,Low (0-3 H),1
534,Male,3.8,80.3,8.4,Bachelors,Yes,No,No,71.4,92.8,A,Average (3-6 H),4
535,Male,5.1,65.2,5.9,Bachelors,Yes,Yes,No,72.8,80.7,B,Average (3-6 H),3
536,Female,2,92.5,7.7,High School,Yes,No,No,58.7,77.6,C,Low (0-3 H),2
537,Female,3.7,74.3,6.6,Masters,Yes,Yes,No,65.4,87.7,B,Average (3-6 H),3
538,Male,2.4,87.4,6.7,High School,Yes,Yes,No,67.5,86,B,Low (0-3 H),3
539,Male,5.3,100,6.9,High School,Yes,No,No,89.3,100,A,Average (3-6 H),4
540,Female,1.2,75.8,7.1,Bachelors,Yes,Yes,Yes,45,57.3,F,Low (0-3 H),0
541,Male,2.7,59.7,6.7,Masters,No,No,Yes,84.5,75.6,C,Low (0-3 H),2
542,Female,4.1,82.1,7.1,Masters,Yes,Yes,No,58.8,87.3,B,Average (3-6 H),3
543,Male,5.8,96,8.7,Bachelors,Yes,Yes,Yes,53.5,88.8,B,Average (3-6 H),3
544,Female,3.4,100,8,High School,Yes,No,No,84.2,91.8,A,Average (3-6 H),4
545,Male,2.7,72.7,7.8,Bachelors,Yes,No,Yes,78.8,66,D,Low (0-3 H),1
546,Female,6.3,90,6.3,High School,Yes,Yes,No,85.1,100,A,Good (6-9 H),4
547,Male,1.3,80.3,5.7,Bachelors,No,Yes,No,79.6,71.1,C,Low (0-3 H),2
548,Female,0.5,83.9,7.9,Bachelors,Yes,No,No,94.7,88.8,B,Low (0-3 H),3
549,Female,4.2,100,7.9,High School,Yes,Yes,No,76.7,100,A,Average (3-6 H),4
